processed_text,label
actors applauded macron visited suburban city pantin near paris video man front pacaembu stadium paulo field hospital covid patients built claims since theres movement entrance one waiting get theres one inside either dean college biologists euskadi states lot pcr false positives asymptomatic dont spread coronavirus nagpurs medical hospital kidney patient removed excuse made patient corona novel coronavirus sending us economy freefall posts list phone numbers job seekers call find work shared thousands times facebook instagram people italy threw away money lost family members coronavirus covid humanmade american biological weapon fish tank additive may treat coronavirus everyone dying coronavirus death due covid israel mix lemon baking soda tea combination kills coronavirus alleged tweet general heleno minister institutional security sort like ministry interior brazil says covid strong since president jair bolsonaro recovered easily bolsonaro always denied covid post says donald trump said march th people never died dying home vaccination coronavirus cuba picture shows clothes died coronavirus china beijing shipping clothes africa american ceo drew indian map comparing population indian state countries across world highlighting india indirectly handling covid crisis many countries picture showing many hospital beds patients concentrated small area caption states public health like brazil media never talked president barack obama waited six months call swine flu emergency thousands died men indias railway minister demanding money helpless workers walking tracks doctors tijuana taking nap floor hospital photo mannequin wheeled hospital shows covid coverup four people died zanzibar handling chicken infected covid post says one died coronavirus united states video showing muslim man throwing notes spread coronavirus industrialist ratan tatas view economic downfall due covid hold breath seconds dont fibrosis therefore infection picture text english describing method hydroxychloroquine cures virus happens treatment used radiation sickness senegalese doctor says chloroquine secret low number deaths covid senegal medical report hospital general universitario santa luca de cartagena murcia person possible coronavirus nba asking president donald trump resign well never play image critically ill covid infected woman hugging child last time death every election year disease sars avian flu swine flu mers ebola zika coronavirus details three coronavirus positive cases reported kothapet hyderabad india social media group admins requested close groups two days joo doria governor paulo caught covid isolated also took chinese vaccine tested brazil instagram post claims microsoft founder bill gates said people could die covid vaccine priyanka gandhi started buses help migrants travel covid lockdown claim made india found cure coronavirus saddam hussein talked coronavirus cabinet army nineties said america threatened spread virus doesnt follow command photo shared hundreds times facebook twitter alongside claim shows nurse apologising muslim man blamed muslim community spreading covid india posts claim nurse forced apologise local politician document talks benefits wine prevent coronavirus pregnant women must undergo caesarean section pandemic us citizens entitled usd per week stay home avoid spread covid novel coronavirus starting picture quote attributed bill gates stating vaccine wont safe lets get quickly anyway worry consequences later,fake
coranavirus biological weapon developed chinese called wuhan book published read excerpt,fake
coronavirus patients preexisting mental health conditions particularly susceptible clinical deterioration URL,real
chandigarh kalka road nature back basics birds singing style,fake
nobel prize laureate tasuku honjo didnt say coronavirus natural post facebook claims fact professor honjo said hes greatly saddened name used spread misinformation latest coronacheck URL URL,fake
italy finds home remedy covid gms aspirin dissolved lemon juice boiled honey taken hot,fake
cdc offers tips youth sports organizations ways protect players families amp communities slow spread covid learn URL URL,real
blowing hot air hairdryer cure coronavirus,fake
committee engage stakeholders including state governments vaccine manufacturers USER USER USER USER USER USER USER USER USER USER USER USER,real
last week sent incomingenvelopeto member states requesting join vaccine arm actaccelerator today countries engaging w covax global vaccines facility largest amp diverse covid vaccine portfolio theglobeshowingAmericasUSER,real
sadly two people covid hospital today one north shore hospitals general ward one icu waikato hospital wish full fast recovery,real
even better piece news states reported fewer deaths hadnt happened since march yes probably larger number deaths reported tomorrow lagging weekend data gets posted significant pandemic milestone URL,real
latest updates today newyork greencircle green threat scale rightarrow track contain covid change due number contacttracers theyve recently hired big testament state done control covid URL,real
covid deaths us longterm care facilities surpassed representing deaths one every ltc residents america still learning states count report figures URL URL,real
coronavirus four welsh counties face local lockdown worrying rapid rise infections URL,real
old man infected people coronavirus jaipur india tobacco smoke,fake
country second wave covid trying unseat president november,fake
indiafightscorona recovery lakh made possible policy testing aggressively tracking comprehensively amp treating efficiently better ambulance services focus standard care amp use noninvasive oxygen given desired results,real
vaccine covid finally ready,fake
USER got cases extremely difficult backdate way unless state provides full historical dataset every day working states USER,real
USER USER USER USER USER USER USER USER USER USER USER USER work doctors say inhalation steam boiling water best preventive virus affects respiratory system recommended one inhale mouth amp nose minutes effective,fake
coronavirus crisis rivaled hypochondria epidemic URL health coronavirus disease covid prostatecancer,fake
third case man also arrived nz india flight new delhi staying commodore christchurch also tested positive part routine testing around day close contacts followed,real
recent USER documented sarscov rna found surfaces cruise ship cabins days cabins vacated diamond princess disinfection occurred URL covid,real
residents york asked think new government rule allows people england may covid fined fail selfisolate read click URL URL,real
thankfully state northeast pennsylvania percentpositive rate past days URL,real
minister railway USER said cant close trains immediately dont money refund passengers bought tickets advance view money shouldnt given preference lives request review decision coronainpakistan,fake
setting realistic expectations patients chronic condition key URL melasma,real
daily update published states reported relatively low numbers tests k cases k day average deaths URL,real
new cases covid lagos kano ogun bauchi kaduna fct sokoto katsina borno nasarawa adamawa oyo confirmed cases covid nigeria discharged deaths URL,real
dont want go second national lockdown says prime minister boris johnson adds going keep everything review URL URL,real
total number probable cases combined total confirmed probable cases one confirmed case imported case picked miq four points sheraton auckland routine testing around day,real
video shows police forces beating man roadside lockdown,fake
utah jazz new orleans pelicans finally kick nba season every single player URL coronavirus,fake
covid test see still contagious leave sick room home following true fever least hours days symptoms improved days since started feeling sick URL,real
dr vk srinivas vicepresident bharath biotech taking first injection covid vaccine confidence product,fake
texas florida balanced budget california debt billion new york debt billion,fake
acc USER till july covid cases sitamarhi district bihar recovered active cases covid covid covid coronaupdates coronavirusindia coronavirusupdates coronavirus covidupdates URL,real
coronavirus poultry products confirmed bihar health department,fake
ok daily update published states reported k tests completed nearly k new cases hospitalizations ticked major observation however states reported deaths today since may URL,real
also factchecked remarks trumps adult children republican national convention jr covid relief bill tiffany health care eric immigration URL,fake
sir ed davey calls government apologise gross incompetence testing tracing clear communications asks plan risk losing job pm says plan keep economy moving whilst suppressing r URL,real
five helicopters disinfect netherlands extinguish coronavirus citizens stay inside,fake
hosting flu vaccination clinic use cdc guidance assist planning covid pandemic URL fightflu URL,real
california seen rising case counts numbers looked solid positive low hospitalizations growingbut week state appears turning URL,real
dont worry india curfewinindia good come strongertogether coronaviruslockdown stayathomesavelives URL,fake
rss chief mohan bhagwants said covid shook faith religion,fake
cases brings new zealands total number confirmed cases covid number report world health organization one new zealand receiving hospitallevel care covid,real
happens people made longterm unemployed covid USER said USER prospects bleak URL qanda factcheck,fake
covid coronavirus coronavirusupdate time repentance prayer isnt itwhat getting result deeds covid stayhome coronavirus staysafe newyorktough covid usa trump URL,fake
photo shows gov gretchen whitmer mackinaw island today ignoring mask social distancing rules,fake
coronavirusupdates covid testing status update USER stated samples tested upto august sample tested august staysafe indiawillwin URL,real
health minister edward argar says two week national lockdown something hes heard get latest story URL URL,real
candidate vaccines currently part covax candidates evaluation giving initiative largest amp diverse covid vaccine portfolio world URL,real
india crosses nine million covid tests URL,real
coronavirusupdates india reports highest ever single day covid recoveries patients URL USER USER USER USER USER USER USER USER,real
daily update published weve tracked million tests k yesterday note track tests state reports states report tests details see URL URL,real
type type diabetes associated much higher risk inhospital death covid URL,real
dr manisha patil died due covid treating coronavirus patients maharashtra india,fake
hand dryers effective killing coronavirus whatsappforwards always true misleading false satire dont believe everything see verify sharing become newschecker make mainbhinewschecker signature URL,fake
student pondicherry university found home remedy covid accepted world health organization,fake
cheb khaled king algerian rai dies paris hospital got infected covid,fake
coronavirus schoolchildren parents could among groups prioritised covid tests says cabinet minister URL,real
latest update ministry health th consecutive day new cases covid new zealand total number confirmed cases remains total number confirmed probable cases URL,real
index case covid nigeria detected astute physician aware national case definition appeal health care workers pay attention patients travel history critical time USER USER URL,real
muslims hoarding food distributed lockdown,fake
still significant clusters additional deaths report total number tests completed date increase information visit URL,real
covid infodemic isnt spreading online spreading offline fact check become aware leaflet dropped melbourne mailbox containing misleading information weve debunked URL coronavirusfacts datoscoronavirus URL,fake
coronavirus bacterium causes thrombosis italy defeated disease take aspirine apronax zinc general drugs lower blood pressure,fake
one strongest border systems world people coming home required stay isolation quarantine days remain key part border measures,real
coronacheck weve debunked viral facebook post used govt site claim covid tests cant distinguish covid cold measles ebola dont believe misinformation internet read instead URL coronavirusfacts URL,fake
schoolchildren parents could prioritised coronavirus tests hospitals care homes government deals real challenges system cabinet minister told sky news URL,real
infected asymptomatic infectedmild rightarrow mild cases approximately week sum cases two categories worsen thus requiring hospitalization infected remaining progress recovered,real
florida tops k coronavirus cases URL,real
tribal leaders help safeguard communities covid funerals burials actions like social distancing help stop spread coronavirus learn guidance funerals burials tribal communities URL URL,real
someone know communicate using american sign language watch videos covid part asl video series cdc streaming health youtube channel URL,real
claim india began screening passengers covidaffected countries single case pm modi fact govt mandated universal screening international flights mar cases detected across indian states URL,fake
italy cure coronavirus finally found,fake
n masks provide best protection smoke damage airways heart URL wildfires,real
corona exclusive interview woman eats odd chinese amp URL shocking,fake
USER said week ago icu beds theyve ramped capacity lot time,real
total number confirmed cases report,real
USER might look like alien species bacteriaeating viruses could next big thing fight infectious diseases URL,fake
aware lagos abuja majority confirmed cases nigeria focus therefore remains urgently drastically contain cases support states regions best way USER covidnigeria,real
first night firstever virtual dnc different gov cuomo recreated covid press briefing complete powerpoint sen sanders spoke front impressive pile firewood facts heres politifact rundown URL,fake
news deadly coronavirus nothing pisspoor bottled lager drinkers reassured URL URL,fake
post says study showed chloroquine effective covid wrong theres thing covid drug wasnt given humans looked primate cells infected sars URL URL,fake
cdc director robert redfield says healthy people wear masks,fake
rate infection continues rise think happen dr arif rajpura says government may left choice enforce circuit breaker nationwide restrictions tackle second wave coronavirus latest URL URL,real
new visit state joe biden mistook michigans covid numbers military toll URL URL,fake
cure review USER lab surveillance data indicated initial rtpcr positive results covid cases became negative median duration days recent studies also suggested viral load peaks presymptomatic period days,real
workers worked right receive benefit ministry labour employment check name list people rights withdraw benefits,fake
florida broke new yorks day average record cases per million population today testing capacity obviously much much greater spring however still stunning see record fall URL,real
alleged audio argentinian prisoner claims inmates released devoto prison monday,fake
mustard oil kill coronavirus,fake
goats ajmer rajasthan found covid positive,fake
best shave beard avoid infected coronavirus,fake
four active cases recovered total number active cases imported cases managed isolation quarantine community total number confirmed cases,real
aap lawmaker atishi marlena today donated blood plasma institute liver biliary sciences delhis vasant kunj new infections maharashtras covid tally nears lakh mark coronavirus coronavirusfacts URL,fake
right model shows chartdecreasing states reduced risk reopening moderate risk reopening chartincreasing elevated risk reopening find state county URL URL,real
neither viral post coronavirus covid unicef accurate,fake
french state gives benefit people unemployed covid people partially unemployed due coronavirus,fake
states reported deaths day average went first time week URL,real
video viewed thousands times facebook alongside claim shows muslims us praying street coronavirus pandemic,fake
protestors encouraged get tested coronavirus URL URL,real
face masks cause hypoxia wearing causes one inhale much carbon dioxide make sick,fake
icmr continuously communicating respective state authorities findings previous survey dynamic containment zones communicated states action indiafightscovid,real
donald trump announced roche launch vaccine coronavirus next sunday,fake
studies children transmitting covid people infrequent could school closures reduced opportunities children become infected,fake
says wrong asymptomatic spread covid rare,fake
hospital capacity difficult increase like people try go doorway log jam people go everyone get easily overloaded hospitals mean people die unnecessarily stopthespread,real
coronavirus number schools sending home pupils due covid quadruples week URL,real
even broader views course pandemic march july first tests URL,real
health care workers selflessly risking lives every day front lines fight covid hundreds paid ultimate price american heroes forget sacrifices made care us URL,fake
indiafightscorona india scaled historic peak nearly lakh samples tested past hours cumulative tests country close landmark figure crore URL,real
slow spread covid cdc recommends people wear masks public settings around people living household especially social distancing measures difficult maintain learn URL URL,real
doctors giving rescue packs people preexisting respiratory conditions,fake
research shows parts hiv genetic code inserted new coronavirus,fake
photo making rounds social media claims show people died coronavirus italy,fake
many people covid never realize infection URL,real
iranian islamic medicine specialist claims camel urine cures coronavirus infections iran arab news,fake
daily update published focus tests today states reported k tests lowest figure since july k reported cases deaths URL,real
another thread weve following new york versus rest country ny deaths plateaued slowly begun decline rest country yet show similar pattern URL,real
cdc offers general considerations help communities faith decide best practice beliefs slowing spread covid keeping staff congregations safe learn URL URL,real
audio clip circulating whatsapp claiming nagpur second capital indian state maharashtra tested positive coronavirus cases including three doctors,fake
possible close contacts followed three gym classes les mills number confirmed close contacts contacted selfisolating process contacting remaining person,real
joniernst real amount fatalities covid american lives rogermarshall doctor took antimalarial drugs show solidarity donaldtrump stated lies cost lives gopcorruptionovercountry covid donlemon maddow,fake
central government given permission schools reopen,fake
italian parliament calls arrest bill gates,fake
states reported k new cases today states typically report fewest cases mondays red chart weekend lag effect example arizona reported cases today four straight days cases URL,real
south whole looks likely cross positive rate k tests reported per day region URL,real
learning science around covid realtime inform response new studies shown longest viability period virus days reviewing case management guideline nigeria admission discharge cases USER ptfcovid URL,real
news government confirms dominic cummings selflessly travelled length country lockdown help build nations herd immunity URL URL,fake
update covid coronavirus rightarrowclinical progression varies cases common presentations fever cough followed fatigue cases pneumonia Japanesesymbolforbeginnerread full report URL URL,real
loudspeakercoronavirusupdates checkmarkbuttonindias covid recovery rate improves september roundpushpinsteady improvement indias covid recovery rate since lockdown initiation march indiafightscorona USER via USER URL,real
brazilian new minister health nelson teich investigating covid statistics alleged fraud number cases deaths falling brazil week april,fake
says poem people staying home written kathleen omara,fake
report outbreak idiocy spreading times faster coronavirus covid URL,fake
video burqaclad muslim woman denied food kit distributed help people current crisis india due covid muslim,fake
heard straight president wants terminate health care millions americans middle global pandemic cant let happen URL,fake
us highest number covid deaths world passes grim milestone according data johns hopkins university URL,real
indiafightscorona unprecedented surge covid recoveries india increase patients recovered discharged past days URL,real
image shows covid patients state coronavirus isolation ward pakistan,fake
louisiana stripper says contracts coronavirus shell make point attend URL donaldtrump,fake
USER USER USER lucky grapefruit doesnt make quinine hydtoxychloroquine different chemical youre getting somewhat effective antimalarial treatments side effects effect sarscov virus causes covid URL,fake
covid end datadriven prediction covid pandemic end dates singapore univeristy trchnology amp design URL covid covid covidpakistan,fake
number newly reported covid deaths includes deaths texas state reported today however texas also removed deaths cumulative totals due automation error cumulative counts URL reflect adjustment,real
alert level update full update follow auckland stay alert level pm august rest country continue remain alert level URL,real
italian doctor worked shenzhen hospital china issued series instuctions locating treating new coronavirus sarscov,fake
birx says covid outbreak control people move URL,fake
USER kia ora probable cases part total number returned negative test still considered probable suspected case covid probable case returned positive test currently quarantine,real
news celebrity genuinely believes anyone gives shit lockdown recommendations URL URL,fake
rt USER help prevent spread covid avoid close contact people sick wash hands often least secon,real
daily update published weve tracked million tests k yesterday note track tests state reports details see URL URL,real
anthony scaramucci says knows donald trump want get tested coronavirus URL donaldtrump,fake
USER hi alert level libraries able open,real
winner debate shall swallow vial covidand survive whispers grinning lester holt democraticdebate coronavirus URL,fake
post claims sister bharatiya janata party leader kapil mishra married muslim man,fake
indiafightscorona states amp uts case fatality rate cfr lower national average stands today continuously declining secretary USER staysafe indiawillwin USER URL,real
indiafightscorona japan commits rs crore approx official development assistance health sector fight covid crisis india read details URL staysafe indiawillwin USER USER USER USER,real
wuhan spelled backwards nahuw way jos coronavirus didnt start URL coronavirus richardnixon napoleon,fake
false USER mike pences claim oklahoma flattened covid curve data shows oklahomas daily caseload risen consistently june levels higher point pandemic URL URL,fake
total number confirmed cases covid number report world health organization,real
video shows bill gates admits vaccine doubt kill people,fake
sadly people hospital covid today auckland city middlemore north shore waikato christchurch hospital people ward icu sending families aroha,real
indiafightscorona coronavirusupdate steady march india conducts total nearly crore tests tests per million tpm scale new peak URL URL,real
total number confirmed cases remains number report world health organization,real
rt USER remember coronavirus vaccine ready market vaccines furthest along URL,fake
bill gates creating vaccine covid would geolocate population,fake
announced first participants age cohort dosed phase study mrna vaccine mrna novel coronavirus read URL mrna URL,real
photo shows packed beach reopened jacksonville beach cnn,fake
facebook post makes several claims etymology covid,fake
toilets may pose risk spread covid URL URL,real
rahul gandhi amp priyanka gandhi breaking lockdown regulations saying need visit friends URL,fake
fda warns use hydroxychloroquine treat covid URL,real
household cures covid la trump URL donaldtrump covid medicines,fake
amit shah tested covid positive people took funeral,fake
three stories read afternoon redcirclepm chair emergency cobra meeting tomorrow URL redcircle daily cases within weeks unless infection rates slow URL redcirclefour ways help beat covid URL URL,real
earlier month directorgeneral health signalled move strongly focus testing borders approach formally announced health minister week,real
let us give one example difficult call yesterday california announced tests administered cumulatively big difference tests people tested would imply k tests rough rule thumb,real
nyt invented video doctor fighting coronavirus hospital,fake
bill gates melinda gates anthony fauci charged genocide,fake
one seven emirates united arab emirates uae banned burials people died contracting novel coronavirus,fake
news government tells people unable take covid tests allowed use predicted results URL URL,fake
loudspeakercoronavirusupdates roundpushpincovid india tracker september rightarrowconfirmed cases rightarrowrecovered thumbsup rightarrowactive cases rightarrowdeaths indiafightscorona indiawillwin staysafe via USER URL,real
single politician died lost job worn mask covid pandemic,fake
logic behind janta curfew carona virus life one place hrs janta curfew hrs places points public areas carona may survived touched hrs break chain,fake
tracking citylevel data allows us see black people died covid michigan detroit decisions individual jurisdictions make obscure scale impact URL,real
reported daily death toll line last friday URL,real
challenge take tremendous promise act accelerator covax scale critical point need significant increase countries political financial commitmentUSER covid unga un URL,real
georgia recorded new cases today positivity rate continued rise posted least cases last three days ga never reported cases one day URL,real
yesterday laboratories completed tests swabs taken community taken managed isolation quarantine facilities brings total number tests completed date,real
latest cdc covidview report indicates covidlike illnesses starting decline southeast south central south westcoast regions still higher levels compared marchapril URL,real
covid vaccine cost much accessible americans URL,real
new class felony carry firearm wearing face mask prevent spread covid URL,fake
billiion dollars announced USER ppl canada increased benefits deferral credit amp mortgage payment months said one country worried rent mortgage money live time crises covid,fake
government stick bn covid bill dil fridge URL,fake
cnns USER cited comprehensive research false claim florida gov ron desantis never asked covid press events may URL URL,fake
last week maine averaged new confirmed cases per day every residents context rates continue less maines population would infected next year URL,real
USER USER USER efficient spreading human population compared lineage b betacoronaviruses,fake
video muslims trained sneeze purposefully spread coronavirus,fake
washington acknowledged issues reporting negative tests hopefully see numbers return normal near future URL,real
popup centre queenstown people showing tuesday alone testing swabs total taken popup centres negative result,real
